doc_title,word,sentiment.x,n,tf,idf,tf_idf,sentiment.y
Circle of Commerce,danger,negative,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,negative
Circle of Commerce,death,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,ready,positive,9,6.12369871402327e-4,0,0,positive
Circle of Commerce,violent,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,danger,negative,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,negative
Circle of Commerce,kill,negative,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,negative
Circle of Commerce,errors,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,eminent,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,lie,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,bleeding,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,kill,negative,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,negative
Circle of Commerce,complaint,negative,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,negative
Circle of Commerce,led,positive,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,positive
Circle of Commerce,rough,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,wrought,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,prudence,positive,1,6.804109682248077e-5,0,0,positive
Circle of Commerce,dangerous,negative,2,1.3608219364496155e-4,0,0,negative
Circle of Commerce,decay,negative,14,9.525753555147309e-4,0,0,negative
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,worth,positive,13,8.845342586922501e-4,0,0,positive
Circle of Commerce,doubt,negative,5,3.402054841124039e-4,0.6931471805599453,2.3581247212354405e-4,negative
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,worth,positive,13,8.845342586922501e-4,0,0,positive
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,merit,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,fallen,negative,7,4.7628767775736546e-4,0,0,negative
Circle of Commerce,rude,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,contempt,negative,1,6.804109682248077e-5,0,0,negative
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,led,positive,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,positive
Circle of Commerce,contentment,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,vile,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,delight,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,deformed,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,reformed,positive,2,1.3608219364496155e-4,0,0,positive
Circle of Commerce,deformed,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,reformed,positive,2,1.3608219364496155e-4,0,0,positive
Circle of Commerce,broken,negative,1,6.804109682248077e-5,0,0,negative
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,refuted,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,efficient,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,efficient,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,efficient,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,imperfection,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,heaven,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,corruption,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,perfection,positive,4,2.721643872899231e-4,0,0,positive
Circle of Commerce,imperfect,negative,5,3.402054841124039e-4,0.6931471805599453,2.3581247212354405e-4,negative
Circle of Commerce,ignorance,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,heathen,negative,2,1.3608219364496155e-4,0,0,negative
Circle of Commerce,divine,positive,7,4.7628767775736546e-4,0.6931471805599453,3.301374609729616e-4,positive
Circle of Commerce,humane,positive,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,positive
Circle of Commerce,holy,positive,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,positive
Circle of Commerce,holy,positive,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,positive
Circle of Commerce,peculiar,negative,1,6.804109682248077e-5,0,0,negative
Circle of Commerce,perfection,positive,4,2.721643872899231e-4,0,0,positive
Circle of Commerce,proper,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,ignorant,negative,5,3.402054841124039e-4,0,0,negative
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,remedy,positive,10,6.804109682248078e-4,0,0,positive
Circle of Commerce,ignorance,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,impertinent,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,ingratitude,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,crime,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,regard,positive,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,positive
Circle of Commerce,exceeding,positive,2,1.3608219364496155e-4,0,0,positive
Circle of Commerce,gold,positive,10,6.804109682248078e-4,0,0,positive
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,genius,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,offence,negative,2,1.3608219364496155e-4,0,0,negative
Circle of Commerce,worthy,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,ignorance,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,gold,positive,10,6.804109682248078e-4,0,0,positive
Circle of Commerce,pry,negative,1,6.804109682248077e-5,0,0,negative
Circle of Commerce,worth,positive,13,8.845342586922501e-4,0,0,positive
Circle of Commerce,ignorant,negative,5,3.402054841124039e-4,0,0,negative
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,peace,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,glory,positive,8,5.443287745798462e-4,0,0,positive
Circle of Commerce,famous,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,degenerate,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,fame,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,offence,negative,2,1.3608219364496155e-4,0,0,negative
Circle of Commerce,skill,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,advantage,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,admirable,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,incomparable,negative,1,6.804109682248077e-5,0,0,negative
Circle of Commerce,dead,negative,3,2.0412329046744235e-4,0,0,negative
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,proper,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,affection,positive,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,positive
Circle of Commerce,skill,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,efficient,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,ignorance,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,proper,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,fine,positive,9,6.12369871402327e-4,0,0,positive
Circle of Commerce,wondrous,positive,1,6.804109682248077e-5,0,0,positive
Circle of Commerce,improperly,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,imaginary,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,doubt,negative,5,3.402054841124039e-4,0.6931471805599453,2.3581247212354405e-4,negative
Circle of Commerce,advantage,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,afford,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,encouragement,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,deny,negative,4,2.721643872899231e-4,0,0,negative
Circle of Commerce,encouragement,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,gained,positive,2,1.3608219364496155e-4,0,0,positive
Circle of Commerce,commendable,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,infallible,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,gain,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,stranger,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,fault,negative,6,4.082465809348847e-4,0,0,negative
Circle of Commerce,stranger,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,stranger,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,stranger,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,gain,positive,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,positive
Circle of Commerce,fall,negative,11,7.484520650472886e-4,0,0,negative
Circle of Commerce,rich,positive,5,3.402054841124039e-4,0,0,positive
Circle of Commerce,meddle,negative,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,negative
Circle of Commerce,admirable,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,amiable,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,vent,negative,3,2.0412329046744235e-4,0,0,negative
Circle of Commerce,improper,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,meddle,negative,4,2.721643872899231e-4,0.6931471805599453,1.886499776988352e-4,negative
Circle of Commerce,impertinent,negative,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,negative
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,afraid,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,worthy,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,benefit,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,gold,positive,10,6.804109682248078e-4,0,0,positive
Circle of Commerce,worthy,positive,14,9.525753555147309e-4,0,0,positive
Circle of Commerce,famous,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,detract,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,hinder,negative,3,2.0412329046744235e-4,0,0,negative
Circle of Commerce,afford,positive,3,2.0412329046744235e-4,0,0,positive
Circle of Commerce,hinder,negative,3,2.0412329046744235e-4,0,0,negative
Circle of Commerce,begging,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,free,positive,30,0.0020412329046744235,0,0,positive
Circle of Commerce,lie,negative,2,1.3608219364496155e-4,0.6931471805599453,9.43249888494176e-5,negative
Circle of Commerce,ready,positive,9,6.12369871402327e-4,0,0,positive
Circle of Commerce,ready,positive,9,6.12369871402327e-4,0,0,positive
Circle of Commerce,gracious,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,incomparably,negative,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,negative
Circle of Commerce,hinder,negative,3,2.0412329046744235e-4,0,0,negative
Circle of Commerce,excellent,positive,13,8.845342586922501e-4,0,0,positive
Circle of Commerce,ready,positive,9,6.12369871402327e-4,0,0,positive
Circle of Commerce,limitation,negative,3,2.0412329046744235e-4,0.6931471805599453,1.4148748327412643e-4,negative
Circle of Commerce,diligence,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,protection,positive,1,6.804109682248077e-5,0,0,positive
Circle of Commerce,tender,positive,1,6.804109682248077e-5,0.6931471805599453,4.71624944247088e-5,positive
Circle of Commerce,dignity,positive,1,6.804109682248077e-5,0,0,positive
Circle of Commerce,glory,positive,8,5.443287745798462e-4,0,0,positive
Circle of Commerce,grace,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,favour,positive,6,4.082465809348847e-4,0.6931471805599453,2.8297496654825286e-4,positive
Circle of Commerce,glorious,positive,2,1.3608219364496155e-4,0,0,positive
Circle of Commerce,gracious,positive,6,4.082465809348847e-4,0,0,positive
Circle of Commerce,noble,positive,14,9.525753555147309e-4,0,0,positive
